FULL PUBLICATION LIST — Giovanni Montana (Google Scholar)
To classify: [A] = algorithm paper, [S] = study/application, [R] = review, [O] = other
==========================================================================

2026  Life event trajectories and suicidal ideation throughout adolescence | Lancet Psychiatry | [ ]
2024  Associations of early life adversity and sex with limbic system activation | Neurosci Applied | [ ]
2024  Early life adversity and adolescent internalising symptoms: role of hippocampal volume | Neurosci Applied | [ ]
2024  Factors promoting resilience in adolescents exposed to adverse early life experiences | Neurosci Applied | [ ]
2024  Goal-conditioned offline RL through state space partitioning | Machine Learning | [ ]
2024  GOPlan: goal-conditioned offline RL by planning with learned models | TMLR | [ ]
2023  Evaluation of an AI model to assess future breast cancer risk | Radiology | [ ]
2023  Video object segmentation using point-based memory network | Pattern Recognition | [ ]
2023  Generating a graph colouring heuristic with deep Q-learning and GNNs | LION | [ ]
2023  Patient reidentification from chest radiographs: interpretable deep metric learning | Radiology AI | [ ]
2023  Benchmarking multi-agent deep RL for cooperative missions of UAVs | CMAS@AAMAS | [ ]
2023  GOPlan: goal-conditioned offline RL by planning with learned models | arXiv (dup?) | [ ]
2023  Learning multi-agent coordination through connectivity-driven communication | Machine Learning | [ ]
2022  Improving TD3-BC: relaxed policy constraint for offline learning | NeurIPS workshop / arXiv | [ ]
2022  Model-based trajectory stitching for improved offline RL | NeurIPS workshop / arXiv | [ ]
2022  A persistent homology-based topological loss for CNN-based multiclass segmentation of CMR | IEEE TMI | [ ]
2022  Parental education and youth suicidal behaviours: systematic review and meta-analysis | Epidemiol Psych Sci | [ ]
2022  Mediators and moderators: maternal childhood adversity and children's development | Psychological Medicine | [ ]
2022  The eBRAIN study: impact of early adversity on brain maturation | Brain Behav Immun Health | [ ]
2022  Learning multi-agent coordination through connectivity-driven communication | arXiv (dup?) | [ ]
2022  LeNSE: learning to navigate subgraph embeddings for combinatorial optimisation | ICML | [ ]
2022  Reinforcement learning for robotic manipulation using simulated locomotion demonstrations | Machine Learning | [ ]
2022  Assessing performance of automated prediction and ranking of patient age from chest x-rays | MICCAI | [ ]
2021  Solving challenging dexterous manipulation tasks with trajectory optimisation and RL | ICML | [ ]
2020  Improving coordination in small-scale multi-agent deep RL through memory-driven communication | Machine Learning | [ ]
2020  Plangan: model-based planning with sparse rewards and multiple goals | NeurIPS | [ ]
2020  A persistent homology-based topological loss for multi-class CNN segmentation of cardiac MRI | STACOM | [ ]
2020  Convolutional neural-network-based ordinal regression for brain age prediction | SPIE Medical Imaging | [ ]
2020  Follow the object: curriculum learning for manipulation with imagined goals | arXiv | [ ]
2020  Real-time diameter of the fetal aorta from ultrasound | Neural Comput & Applic | [ ]
2019  Automated triaging of adult chest radiographs with deep artificial neural networks | Radiology | [ ]
2019  Learning to detect chest radiographs containing pulmonary lesions using visual attention | Medical Image Analysis | [ ]
2019  Identification of test cases for automated driving systems using bayesian optimization | IEEE ITSC | [ ]
2019  Skill transfer in deep RL under morphological heterogeneity | arXiv | [ ]
2019  Topology-preserving augmentation for CNN-based segmentation of congenital heart defects | PIPPI | [ ]
2019  Spectral multi-scale community detection in temporal networks | arXiv | [ ]
2018  Dissociating frontoparietal brain networks with neuroadaptive Bayesian optimisation | Nature Communications | [ ]
2018  Longitudinal detection of radiological abnormalities with time-modulated LSTM | DLMIA | [ ]
2018  Random forest regression for manifold-valued responses | Pattern Recog Letters | [ ]
2018  Multi-agent deep RL with extremely noisy observations | arXiv | [ ]
2018  A generative adversarial model for right ventricle segmentation | arXiv | [ ]
2018  Deep metric learning for multi-labelled radiographs | SAC | [ ]
2018  Automated segmentation on the entire cardiac cycle using deep learning | ASONAM | [ ]
2018  V-FCNN: volumetric fully convolution neural network for atrial segmentation | STACOM | [ ]
2018  Temporal convolution networks for real-time fetal aorta analysis | ICANN | [ ]
2018  Adaptive regularization for lasso models in nonstationary data streams | Stat Anal Data Mining | [ ]
2018  Evaluation of treatment response in metastatic renal cell cancer using PET/CT | BMC Cancer | [ ]
2018  Real-time estimation of dynamic functional connectivity networks | Human Brain Mapping | [ ]
2017  Predicting brain age with deep learning from raw imaging data | NeuroImage | [ ]
2017  Heritability maps of human face morphology through automated 3D phenotyping | Scientific Reports | [ ]
2017  Learning what to look in chest X-rays with a recurrent visual attention model | arXiv | [ ]
2017  Childhood tuberculosis and T cell gene transcripts | PLoS One | [ ]
2017  Machine learning shows association between genetic variability in PPARG and cerebral connectivity | PNAS | [ ]
2017  Characterising brain network topologies using heat kernels | NeuroImage | [ ]  (note: 2016 in some refs)
2017  Multi-scale community detection in temporal networks using spectral graph wavelets | PAP | [ ]
2017  Learning population and subject-specific brain connectivity via mixed neighbourhood selection | Ann Appl Stat | [ ]
2017  Glutamate gene polymorphisms predict brain volumes in multiple sclerosis | Multiple Sclerosis J | [ ]
2017  Decoding time-varying functional connectivity via linear graph embedding | Frontiers Comput Neurosci | [ ]
2016  Modelling radiological language with bidirectional LSTM networks | Health Text Mining | [ ]
2016  Recurrent fully convolutional neural networks for multi-slice MRI cardiac segmentation | RAMBO | [ ]
2016  The Automatic Neuroscientist: optimising experimental design with real-time fMRI | NeuroImage | [ ]
2016  Recurrent convolutional networks for pulmonary nodule detection in CT | arXiv | [ ]
2016  Characterising brain network topologies: dynamic analysis with heat kernels | NeuroImage | [ ]
2016  Possible relationship between genetic variation and white matter development in preterm infants | Brain and Behavior | [ ]
2016  Supervised multivariate whole-brain reduction for schizophrenia research | Frontiers Neuroscience | [ ]
2016  Stopping criteria for boosting automatic experimental design using real-time fMRI | arXiv | [ ]
2016  Classifying HCP task-fMRI networks using heat kernels | PRNI | [ ]
2016  Towards tailoring non-invasive brain stimulation using real-time fMRI and Bayesian optimization | PRNI | [ ]
2015  Predicting Alzheimer's disease: a neuroimaging study with 3D CNNs | arXiv | [ ]
2015  Deep neural networks for anatomical brain segmentation | CVPR | [ ]
2015  Predicting response to neoadjuvant chemotherapy with PET imaging using CNNs | PLoS ONE | [ ]
2015  Prediction of outcome in acute lower GI bleeding using gradient boosting | PLoS ONE | [ ]
2015  Community detection in multiplex networks using locally adaptive random walks | IEEE/ACM ASONAM | [ ]
2015  Differential analysis of biological networks | BMC Bioinformatics | [ ]
2015  Sparse multi-view matrix factorisation for multiple tissue comparisons | Bioinformatics | [ ]
2015  Classifier calibration using splined empirical probabilities in clinical risk prediction | HCMS | [ ]
2014  Estimating time-varying brain connectivity networks from functional MRI | NeuroImage | [ ]
2014  Subspace clustering of high-dimensional data: a predictive approach | DMKD | [ ]
2014  Brown and white adipose tissues: intrinsic differences in gene expression | Am J Physiol | [ ]
2014  Population-based studies of myocardial hypertrophy using cardiovascular MR atlases | JCMR | [ ]
2014  Distance-based analysis of variance: approximate inference | Stat Anal Data Mining | [ ]
2014  Network-guided regression for DNA methylation and gene expression | Bioinformatics | [ ]
2014  RIP140 represses the brown-in-white adipocyte program | Molecular Endocrinology | [ ]
2014  A Bayesian mixture of lasso regressions with t-errors | CSDA | [ ]
2014  Whole-brain mapping of structural connectivity in infants | Cerebral Cortex | [ ]
2013  Transcriptomic profiling in childhood H1N1/09 influenza | J Infectious Diseases | [ ]
2013  Pathways-driven sparse regression: HDL cholesterol in Asian cohorts | PLoS Genetics | [ ]
2013  Identification of gene pathways in Alzheimer's using longitudinal imaging | NeuroImage | [ ]  (note: 2012 in some refs)
2013  Random forests on Hadoop for genome-wide association studies | BMC Bioinformatics | [ ]
2013  Fast identification of biological pathways using group lasso with overlaps | Stat Appl Genet Mol Biol | [ ]  (note: 2012 in some refs)
2013  A distance-based test of association between paired heterogeneous genomic data | Bioinformatics | [ ]
2013  Histone deacetylase gene variants predict brain volume changes in multiple sclerosis | Neurobiol Aging | [ ]
2013  Glutamate gene polymorphisms predict brain volumes in MS | Multiple Sclerosis J | [ ]
2013  Random forests on distance matrices for imaging genetics | Stat Appl Genet Mol Biol | [ ]
2013  Model-based clustering with gene ranking using penalised mixtures | J Bioinform Comput Biol | [ ]
2012  Smchd1-dependent pathways determine CpG island methylation on the inactive X | Developmental Cell | [ ]
2012  Sparse reduced-rank regression detects genetic associations with voxel-wise phenotypes | Elsevier | [ ]
2012  Identification of gene pathways implicated in Alzheimer's using longitudinal imaging | NeuroImage | [ ]
2012  Fast identification of biological pathways using group lasso with overlaps | Stat Appl Genet Mol Biol | [ ]
2012  Biomarker discovery for sparse classification of brain images in Alzheimer's | BMVA | [ ]
2011  A statistical framework for biomarker discovery in metabolomic time course data | Bioinformatics | [ ]
2011  Dynamic modeling of mean-reverting spreads for statistical arbitrage | Comp Mgmt Science | [ ]
2011  Distance-based differential analysis of gene curves | Bioinformatics | [ ]
2011  Intestinal injury and endotoxemia in children undergoing surgery for congenital heart disease | AJRCCM | [ ]
2010  Discovering genetic associations with high-dimensional neuroimaging phenotypes: sparse reduced-rank regression | NeuroImage | [ ]
2010  Genome expansion and gene loss in powdery mildew fungi | Science | [ ]
2010  False positives in neuroimaging genetics using cluster-size inference | NeuroImage | [ ]
2010  Efficiency of Xist-mediated silencing on autosomes linked to chromosomal domain organisation | Epigenetics & Chromatin | [ ]
2010  Sparse partial least squares for on-line variable selection in data streams | Stat Anal Data Mining | [ ]
2009  Flexible least squares for temporal data mining and statistical arbitrage | Expert Systems Appl | [ ]
2008  Learning to trade with incremental support vector regression experts | HAIS | [ ]
2008  Data stream mining for market-neutral algorithmic trading | SAC | [ ]
2007  Statistical software for gene mapping by admixture linkage disequilibrium | Brief Bioinform | [ ]
2006  Statistical methods in genetics | Brief Bioinform | [ ]
2006  Fraud detection in consumer credit | Expert | [ ]
2005  HapSim: simulation tool for haplotype data | Bioinformatics | [ ]
2004  Statistical tests for admixture mapping with case-control data | Am J Hum Genet | [ ]
2003  Small sets and Markov transition densities | Stoch Proc Appl | [ ]
